妊娠悪阻,10,10,10,名詞,疾患名（GL）,*,*,*,*,妊娠悪阻,妊娠悪阻,妊娠悪阻
異所性妊娠,10,10,10,名詞,疾患名（GL）,*,*,*,*,異所性妊娠,異所性妊娠,異所性妊娠
流産,10,10,10,名詞,疾患名（GL）,*,*,*,*,流産,流産,流産
切迫流産,10,10,10,名詞,疾患名（GL）,*,*,*,*,切迫流産,切迫流産,切迫流産
頸管無力症,10,10,10,名詞,疾患名（GL）,*,*,*,*,頸管無力症,頸管無力症,頸管無力症
不育症,10,10,10,名詞,疾患名（GL）,*,*,*,*,不育症,不育症,不育症
習慣流産,10,10,10,名詞,疾患名（GL）,*,*,*,*,習慣流産,習慣流産,習慣流産
ハイリスク妊娠,10,10,10,名詞,疾患名（GL）,*,*,*,*,ハイリスク妊娠,ハイリスク妊娠,ハイリスク妊娠
妊娠高血圧症候群,10,10,10,名詞,疾患名（GL）,*,*,*,*,妊娠高血圧症候群,妊娠高血圧症候群,妊娠高血圧症候群
子癇,10,10,10,名詞,疾患名（GL）,*,*,*,*,子癇,子癇,子癇
HELLP症候群,10,10,10,名詞,疾患名（GL）,*,*,*,*,HELLP症候群,HELLP症候群,HELLP症候群
加重型妊娠高血圧腎症,10,10,10,名詞,疾患名（GL）,*,*,*,*,加重型妊娠高血圧腎症,加重型妊娠高血圧腎症,加重型妊娠高血圧腎症
早産,10,10,10,名詞,疾患名（GL）,*,*,*,*,早産,早産,早産
切迫早産,10,10,10,名詞,疾患名（GL）,*,*,*,*,切迫早産,切迫早産,切迫早産
前期破水,10,10,10,名詞,疾患名（GL）,*,*,*,*,前期破水,前期破水,前期破水
過期妊娠,10,10,10,名詞,疾患名（GL）,*,*,*,*,過期妊娠,過期妊娠,過期妊娠
血液型不適合妊娠,10,10,10,名詞,疾患名（GL）,*,*,*,*,血液型不適合妊娠,血液型不適合妊娠,血液型不適合妊娠
羊水過多症,10,10,10,名詞,疾患名（GL）,*,*,*,*,羊水過多症,羊水過多症,羊水過多症
羊水過少症,10,10,10,名詞,疾患名（GL）,*,*,*,*,羊水過少症,羊水過少症,羊水過少症
Potter症候群,10,10,10,名詞,疾患名（GL）,*,*,*,*,Potter症候群,Potter症候群,Potter症候群
絨毛膜羊膜炎,10,10,10,名詞,疾患名（GL）,*,*,*,*,絨毛膜羊膜炎,絨毛膜羊膜炎,絨毛膜羊膜炎
頸管炎,10,10,10,名詞,疾患名（GL）,*,*,*,*,頸管炎,頸管炎,頸管炎
常位胎盤早期剝離,10,10,10,名詞,疾患名（GL）,*,*,*,*,常位胎盤早期剝離,常位胎盤早期剝離,常位胎盤早期剝離
前置胎盤,10,10,10,名詞,疾患名（GL）,*,*,*,*,前置胎盤,前置胎盤,前置胎盤
癒着胎盤,10,10,10,名詞,疾患名（GL）,*,*,*,*,癒着胎盤,癒着胎盤,癒着胎盤
臍帯卵膜付着,10,10,10,名詞,疾患名（GL）,*,*,*,*,臍帯卵膜付着,臍帯卵膜付着,臍帯卵膜付着
前置血管,10,10,10,名詞,疾患名（GL）,*,*,*,*,前置血管,前置血管,前置血管
臍帯過捻転,10,10,10,名詞,疾患名（GL）,*,*,*,*,臍帯過捻転,臍帯過捻転,臍帯過捻転
胎盤機能不全,10,10,10,名詞,疾患名（GL）,*,*,*,*,胎盤機能不全,胎盤機能不全,胎盤機能不全
妊娠貧血,10,10,10,名詞,疾患名（GL）,*,*,*,*,妊娠貧血,妊娠貧血,妊娠貧血
妊娠糖尿病,10,10,10,名詞,疾患名（GL）,*,*,*,*,妊娠糖尿病,妊娠糖尿病,妊娠糖尿病
